#vertex:3000
,x,y,z
1,-28.383982609034938,-27.8875,10.
2,-29.37991182338704,-28.4625,10.
3,-28.383982609034938,-26.737499999999997,10.
4,-29.37991182338704,-27.3125,10.
5,-28.383982609034938,-25.5875,10.
6,-29.37991182338704,-26.162499999999998,10.
7,-28.383982609034938,-24.4375,10.
8,-29.37991182338704,-25.0125,10.
9,-28.383982609034938,-23.287499999999998,10.
10,-29.37991182338704,-23.862499999999997,10.
11,-28.383982609034938,-22.1375,10.
12,-29.37991182338704,-22.7125,10.
13,-28.383982609034938,-20.987499999999997,10.
14,-29.37991182338704,-21.5625,10.
15,-28.383982609034938,-19.8375,10.
16,-29.37991182338704,-20.4125,10.
17,-28.383982609034938,-18.6875,10.
18,-29.37991182338704,-19.2625,10.
19,-28.383982609034938,-17.5375,10.
20,-29.37991182338704,-18.112499999999997,10.
21,-28.383982609034938,-16.3875,10.
22,-29.37991182338704,-16.9625,10.
23,-28.383982609034938,-15.237499999999999,10.
24,-29.37991182338704,-15.8125,10.
25,-28.383982609034938,-14.0875,10.
26,-29.37991182338704,-14.6625,10.
27,-28.383982609034938,-12.9375,10.
28,-29.37991182338704,-13.5125,10.
29,-28.383982609034938,-11.787500000000001,10.
30,-29.37991182338704,-12.3625,10.
31,-28.383982609034938,-10.6375,10.
32,-29.37991182338704,-11.212499999999999,10.
33,-28.383982609034938,-9.4875,10.
34,-29.37991182338704,-10.0625,10.
35,-28.383982609034938,-8.337499999999999,10.
36,-29.37991182338704,-8.912500000000001,10.
37,-28.383982609034938,-7.1875,10.
38,-29.37991182338704,-7.762499999999999,10.
39,-28.383982609034938,-6.037500000000001,10.
40,-29.37991182338704,-6.612500000000001,10.
41,-28.383982609034938,-4.887499999999999,10.
42,-29.37991182338704,-5.462499999999999,10.
43,-28.383982609034938,-3.7375000000000007,10.
44,-29.37991182338704,-4.3125,10.
45,-28.383982609034938,-2.587500000000002,10.
46,-29.37991182338704,-3.1625000000000014,10.
47,-28.383982609034938,-1.4375,10.
48,-29.37991182338704,-2.0124999999999993,10.
49,-28.383982609034938,-0.2875000000000014,10.
50,-29.37991182338704,-0.8625000000000007,10.
51,-28.383982609034938,0.8625000000000007,10.
52,-29.37991182338704,0.28749999999999787,10.
53,-28.383982609034938,2.0124999999999993,10.
54,-29.37991182338704,1.4375,10.
55,-28.383982609034938,3.162499999999998,10.
56,-29.37991182338704,2.5874999999999986,10.
57,-28.383982609034938,4.3125,10.
58,-29.37991182338704,3.737499999999997,10.
59,-28.383982609034938,5.462499999999999,10.
60,-29.37991182338704,4.887499999999996,10.
61,-28.383982609034938,6.612499999999997,10.
62,-29.37991182338704,6.037500000000001,10.
63,-28.383982609034938,7.762499999999996,10.
64,-29.37991182338704,7.1875,10.
65,-28.383982609034938,8.912500000000001,10.
66,-29.37991182338704,8.337499999999999,10.
67,-28.383982609034938,10.0625,10.
68,-29.37991182338704,9.487499999999997,10.
69,-28.383982609034938,11.212499999999999,10.
70,-29.37991182338704,10.637499999999996,10.
71,-28.383982609034938,12.362499999999997,10.
72,-29.37991182338704,11.787500000000001,10.
73,-28.383982609034938,13.512499999999996,10.
74,-29.37991182338704,12.9375,10.
75,-28.383982609034938,14.662500000000001,10.
76,-29.37991182338704,14.087499999999999,10.
77,-28.383982609034938,15.8125,10.
